,Unnamed: 0,Papel,Unnamed: 0.1,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1,Setor,Subsetor,Cat_Cluster
98,98,CIEL3,47,0.23406028747558594,0.2811870574951172,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1.5960464477539062,0.975727081298828,Serviços Financeiros Diversos,Serviços Financeiros Diversos,B
99,99,CLSC3,48,0.2041778564453125,0.15612411499023438,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.02805137634277344,0.05365753173828125,Energia Elétrica,Energia Elétrica,B
100,100,CLSC4,0,0.2378654479980469,0.9754638671875,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.005397796630859375,0.044399261474609375,Energia Elétrica,Energia Elétrica,B
101,101,CMIG3,1,0.22492694854736328,0.07599830627441406,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0.31679821014404297,0.045929908752441406,Energia Elétrica,Energia Elétrica,B
102,102,CMIG4,2,5.39035701751709,22.88186454772949,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8637571334838867,6.683349370956421,Energia Elétrica,Energia Elétrica,B
103,103,COCE3,3,0.20072174072265625,0.1064739227294922,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05023002624511719,0.07595062255859375,Energia Elétrica,Energia Elétrica,B
104,104,COCE5,4,0.020725250244140625,0.5363121032714844,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3153648376464844,0.1884307861328125,Energia Elétrica,Energia Elétrica,B
105,105,COGN3,5,0.3760805130004883,0.08730411529541016,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11632633209228516,0.05100822448730469,Diversos,Serviços Educacionais,B
106,106,CORR4,6,15.485900878906266,11.533134460449233,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.666069030761733,0.06599426269532671,Exploração de Imóveis,Exploração de Imóveis,R
107,107,CPFE3,7,0.0556488037109375,0.0593719482421875,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.04913520812988281,0.045803070068359375,Energia Elétrica,Energia Elétrica,B
108,108,CPLE3,8,0.006581783294677734,0.010781526565551758,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.025381803512573242,0.01723313331604004,Energia Elétrica,Energia Elétrica,B
109,109,CPLE5,9,0.2848548889160156,0.10073089599609376,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.4448699951171875,0.8884353637695312,Energia Elétrica,Energia Elétrica,B
110,110,CPLE6,10,0.018210411071777344,0.003799915313720703,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01836395263671875,0.003822803497314453,Energia Elétrica,Energia Elétrica,B
111,111,CRDE3,11,0.2076969146728516,0.4300365447998047,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.1055622100830078,0.21218490600585932,Construção Civil,Incorporações,B
112,112,CRIV3,12,0.03006219863891602,0.006164312362670898,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002846240997314453,0.01892828941345215,Intermediários Financeiros,Soc. Crédito e Financiamento,A
113,113,CRIV4,13,0.010913848876953123,0.042917728424072266,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.013210296630859377,0.005383729934692383,Intermediários Financeiros,Soc. Crédito e Financiamento,A
114,114,CRPG3,14,0.011121749877929688,0.021472930908203125,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06786060333251953,0.01205158233642578,Químicos,Químicos Diversos,B
115,115,CRPG5,15,15.98144543170929,8.58489978313446,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.516353011131287,7.67110812664032,Químicos,Químicos Diversos,B
